id,name,location,period,duration,priceKRW,description,countryCode,imageQuery,fallbackImage,mapUrl,flightPrice,flightDuration,flightAirline
harbin-ice,하얼빈 빙등제,중국 하얼빈,매년 1~2월,5,2200000,세계 최대 얼음 조각 축제. 태양도와 빙설대세계에서 거대한 얼음 조각과 야간 조명쇼를 감상하세요.,cn,harbin ice festival,"https://images.unsplash.com/photo-1518684079-3c830dcef090?w=800",https://www.google.com/maps/search/?api=1&query=Harbin+Ice+Festival,320000,3시간,대한항공/중국국제항공
cherry-blossom,벚꽃 축제,일본 도쿄·교토,매년 3~4월,5,1800000,벚꽃 만개 시즌에 즐기는 일본 대표 봄 축제. 우에노공원과 철학의 길에서 핑크빛 벚꽃 터널을 산책하세요.,jp,japan cherry blossom,"https://images.unsplash.com/photo-1496317899792-9d7dbcd928a1?w=800",https://www.google.com/maps/search/?api=1&query=Ueno+Park+Tokyo,250000,2시간,대한항공/진에어/제주항공
fringe,에든버러 프린지,영국 에든버러,8월 한달,6,2600000,세계 최대 예술 축제. 3000개 이상의 공연과 거리 퍼포먼스가 펼쳐지는 문화의 향연.,gb,edinburgh fringe festival,"https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800",https://www.google.com/maps/search/?api=1&query=Edinburgh+Fringe+Festival,1200000,13시간,영국항공/KLM
sonkgran,송크란 물축제,태국 방콕,매년 4월 13-15일,5,1700000,도시 전체가 물 싸움으로 뒤덮이는 태국 새해 축제. 카오산로드에서 신나는 워터 배틀을 즐기세요.,th,thailand songkran festival,"https://images.unsplash.com/photo-1544552862-1a91c91d8c3f?w=800",https://www.google.com/maps/search/?api=1&query=Khao+San+Road+Bangkok,350000,6시간,대한항공/타이항공
oktober-alt,카니발 데 쾰른,독일 쾰른,2월,6,2400000,가장 화려한 독일 카니발. 로젠몬탁 퍼레이드에서 형형색색 의상과 음악을 만끽하세요.,de,cologne carnival germany,"https://images.unsplash.com/photo-1528892952291-009c663ce843?w=800",https://www.google.com/maps/search/?api=1&query=Cologne+Carnival+Germany,980000,12시간,루프트한자/KLM
dia-de-muertos,죽은 자의 날,멕시코 멕시코시티,10월 31일~11월 2일,6,2300000,해골 분장과 제단으로 고인을 기리는 멕시코 전통 축제. 소칼로 광장과 미스킥 시장의 화려한 오프렌다를 감상하세요.,mx,day of the dead mexico,"https://images.unsplash.com/photo-1541119638723-909f0bf57b33?w=800",https://www.google.com/maps/search/?api=1&query=Zocalo+Mexico+City,1650000,16시간,에어로멕시코/United
holi,홀리 축제,인도 바라나시·자이푸르,3월,6,1900000,색가루를 뿌리며 봄을 기념하는 컬러 페스티벌. 갠지스강과 궁전에서 펼쳐지는 색색의 향연에 동참하세요.,in,holi festival india,"https://images.unsplash.com/photo-1461360370896-922624d12aa1?w=800",https://www.google.com/maps/search/?api=1&query=Varanasi+Holi+Festival,750000,8시간,대한항공/인도항공
tomorrowland,투모로우랜드,벨기어 붐,7월 마지막 주말,5,3200000,세계적인 EDM 뮤직 페스티벌. 300명 이상의 DJ와 환상적인 무대 세트에서 최고의 전자음악을 경험하세요.,be,tomorrowland festival,"https://images.unsplash.com/photo-1511379938547-c1f69419868d?w=800",https://www.google.com/maps/search/?api=1&query=Tomorrowland+Boom+Belgium,1100000,12시간,대한항공/KLM/루프트한자
up-alaaf,마르디 그라,미국 뉴올리언스,2월,6,2700000,퍼레이드와 비즈 목걸이로 유명한 미국 남부 축제. 프렌치 쿼터와 버번 스트리트에서 재즈와 축제를 만끽하세요.,us,mardi gras new orleans,"https://images.unsplash.com/photo-1519681393784-d120267933ba?w=800",https://www.google.com/maps/search/?api=1&query=French+Quarter+New+Orleans,1400000,14시간,대한항공/United/Delta
lantern-taiwan,핑시 천등 축제,대만 핑시,정월 대보름,4,1600000,밤하늘을 수놓는 수천 개의 천등 축제. 소원을 담은 천등을 직접 날려보내며 감동적인 순간을 경험하세요.,tw,sky lantern festival taiwan,"https://images.unsplash.com/photo-1519681393784-d120267933ba?w=800",https://www.google.com/maps/search/?api=1&query=Pingxi+Sky+Lantern+Festival,280000,2.5시간,대한항공/중화항공/타이거항공
