id,name,location,period,duration,priceKRW,description,countryCode,imageQuery,fallbackImage,mapUrl,flightPrice,flightDuration,flightAirline,image
harbin-ice,하얼빈 빙등제,중국 하얼빈,매년 1~2월,5,2200000,세계 최대 얼음 조각 축제. 태양도와 빙설대세계에서 거대한 얼음 조각과 야간 조명쇼를 감상하세요.,cn,harbin ice festival,"",https://www.google.com/maps/search/?api=1&query=Harbin+Ice+Festival,320000,3시간,대한항공/중국국제항공,images/하얼빈빙등제.jpg
cherry-blossom,벚꽃 축제,일본 도쿄·교토,매년 3~4월,5,1800000,벚꽃 만개 시즌에 즐기는 일본 대표 봄 축제. 우에노공원과 철학의 길에서 핑크빛 벚꽃 터널을 산책하세요.,jp,japan cherry blossom,"",https://www.google.com/maps/search/?api=1&query=Ueno+Park+Tokyo,250000,2시간,대한항공/진에어/제주항공,images/벚꽃축제.jpg
fringe,에든버러 프린지,영국 에든버러,8월 한달,6,2600000,세계 최대 예술 축제. 3000개 이상의 공연과 거리 퍼포먼스가 펼쳐지는 문화의 향연.,gb,edinburgh fringe festival,"",https://www.google.com/maps/search/?api=1&query=Edinburgh+Fringe+Festival,1200000,13시간,영국항공/KLM,images/에든버러.png
songkran,송크란 물축제,태국 방콕,매년 4월 13-15일,5,1700000,도시 전체가 물 싸움으로 뒤덮이는 태국 새해 축제. 카오산로드에서 신나는 워터 배틀을 즐기세요.,th,thailand songkran festival,"",https://www.google.com/maps/search/?api=1&query=Khao+San+Road+Bangkok,350000,6시간,대한항공/타이항공,images/송크란.jpeg
cologne-carnival,쾰른 카니발,독일 쾰른,2월,6,2400000,가장 화려한 독일 카니발. 로젠몬탁 퍼레이드에서 형형색색 의상과 음악을 만끽하세요.,de,cologne carnival germany,"",https://www.google.com/maps/search/?api=1&query=Cologne+Carnival+Germany,980000,12시간,루프트한자/KLM,images/카니발.jpg
dia-de-muertos,죽은 자의 날,멕시코 멕시코시티,10월 31일~11월 2일,6,2300000,해골 분장과 제단으로 고인을 기리는 멕시코 전통 축제. 소칼로 광장과 미스킥 시장의 화려한 오프렌다를 감상하세요.,mx,day of the dead mexico,"",https://www.google.com/maps/search/?api=1&query=Zocalo+Mexico+City,1650000,16시간,에어로멕시코/United,images/죽은자의 날.jpg
holi,홀리 축제,인도 바라나시·자이푸르,3월,6,1900000,색가루를 뿌리며 봄을 기념하는 컬러 페스티벌. 갠지스강과 궁전에서 펼쳐지는 색색의 향연에 동참하세요.,in,holi festival india,"",https://www.google.com/maps/search/?api=1&query=Varanasi+Holi+Festival,750000,8시간,대한항공/인도항공,images/홀리축제.jpg
tomorrowland,투모로우랜드,벨기에 붐,7월 마지막 주말,5,3200000,세계적인 EDM 뮤직 페스티벌. 300명 이상의 DJ와 환상적인 무대 세트에서 최고의 전자음악을 경험하세요.,be,tomorrowland festival,"",https://www.google.com/maps/search/?api=1&query=Tomorrowland+Boom+Belgium,1100000,12시간,대한항공/KLM/루프트한자,images/투모로우랜드.jpg
mardi-gras,마르디 그라,미국 뉴올리언스,2월,6,2700000,퍼레이드와 비즈 목걸이로 유명한 미국 남부 축제. 프렌치 쿼터와 버번 스트리트에서 재즈와 축제를 만끽하세요.,us,mardi gras new orleans,"",https://www.google.com/maps/search/?api=1&query=French+Quarter+New+Orleans,1400000,14시간,대한항공/United/Delta,images/마르디 그라.jpg
pingxi-lantern,핑시 천등 축제,대만 핑시,정월 대보름,4,1600000,밤하늘을 수놓는 수천 개의 천등 축제. 소원을 담은 천등을 직접 날려보내며 감동적인 순간을 경험하세요.,tw,sky lantern festival taiwan,"",https://www.google.com/maps/search/?api=1&query=Pingxi+Sky+Lantern+Festival,280000,2.5시간,대한항공/중화항공/타이거항공,images/핑시 천등 축제.jpg
la-tomatina,라 토마티나,스페인 부뇰,8월 마지막 수요일,4,2500000,세계에서 가장 유명한 토마토 싸움 축제. 수만 명의 사람들과 함께 토마토를 던지며 스트레스를 날려보세요.,es,la tomatina festival,"",https://www.google.com/maps/search/?api=1&query=La+Tomatina+Buñol,1050000,13시간,대한항공/KLM/에어프랑스,images/라토마티나.jpeg
oktoberfest,옥토버페스트,독일 뮌헨,9월 말 ~ 10월 초,5,2800000,세계 최대 맥주 축제. 거대한 텐트에서 전통 맥주와 음식을 즐기며 독일 문화를 체험하세요.,de,oktoberfest munich,"",https://www.google.com/maps/search/?api=1&query=Oktoberfest+Munich,950000,11시간,루프트한자/KLM,images/옥토버페스트.jpeg
rio-carnival,리우 카니발,브라질 리우데자네이루,2월,7,3500000,화려한 퍼레이드와 삼바 춤이 어우러진 세계 3대 축제. 삼보드로모 경기장에서 열정적인 삼바 스쿨의 경연을 관람하세요.,br,rio carnival,"",https://www.google.com/maps/search/?api=1&query=Sambadrome+Marquês+de+Sapucaí,1800000,24시간,대한항공/LATAM/United,images/리우카니발.jpg
